Timestamp start: 1747214468358
Timestamp end: 1747215308632

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      250.6   196.5    63.8    98.6   109.1   211.5   272.6   308.2   334.6   365.8   404.1   468.5  1071.0  2207.0  2879.7  72099.3    71996
read      240.2   135.6    68.9   100.0   111.7   224.1   271.5   297.9   315.6   336.5   362.9   403.5   698.2  1648.0  2477.0  41596.3    41778
read      220.6   203.6    63.8   104.5   119.0   209.7   240.6   257.5   269.6   284.1   302.7   333.9   473.9  1354.2  9073.2  21914.3    21860
read      240.3   155.0    63.8    98.8   109.8   221.1   269.9   296.3   315.3   337.3   365.3   409.8   750.6  1864.5  3585.0  45498.0    45582
read      263.9   257.4    59.1   100.7   111.2   210.5   274.5   315.3   345.9   382.2   428.2   506.8  1380.0  2588.6  8833.6  81742.3    81972
read      251.4   287.1    59.1   101.4   113.0   227.9   276.7   303.5   321.9   343.5   372.0   424.0   841.9  2159.5 17944.7  42722.3    42852
read      251.9   179.7    63.8   101.5   112.5   227.0   280.9   312.2   334.5   360.2   392.7   445.2   849.0  1942.0  4889.3  51904.3    51852
read      242.8   229.4    63.8   103.0   113.5   191.2   242.8   275.0   300.7   334.3   386.6   496.8  1232.4  2797.8  6261.6 109465.0   109368
read      239.6   200.5    68.9    98.3   108.4   214.0   261.4   288.0   308.3   333.4   367.1   423.2   863.3  2770.8  5870.2  56010.0    55794
read      230.1   110.4    63.8    99.6   112.0   220.0   263.1   285.6   301.4   319.3   342.9   380.7   517.2  1147.1  2018.4  35368.0    35534
read      251.2   225.4    63.8    99.7   110.2   199.4   263.8   305.9   338.9   377.3   424.9   503.9  1059.3  2525.5  8131.9  90684.3    90576
